session,Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,session_order
FP1,BOR,5,Audi,14.0,105.812,30.559,32.255,42.998,257.0,269.0,272.0,312.0,MEDIUM,14.0,False,False,1,1
FP1,BOR,5,Audi,15.0,98.302,25.888,29.841,42.573,281.0,271.0,272.0,315.0,MEDIUM,15.0,False,False,1,1
FP1,BOR,5,Audi,16.0,98.752,25.961,29.967,42.824,276.0,267.0,271.0,310.0,MEDIUM,16.0,False,False,1,1
FP1,BOR,5,Audi,17.0,99.295,25.981,30.096,43.218,300.0,267.0,270.0,303.0,MEDIUM,17.0,False,False,1,1
FP1,BOR,5,Audi,18.0,109.664,26.003,30.117,53.544,273.0,266.0,,250.0,MEDIUM,18.0,False,False,1,1
FP1,BOR,5,Audi,20.0,114.992,28.012,31.493,55.487,268.0,252.0,275.0,149.0,SOFT,2.0,True,False,1,1
FP1,BOR,5,Audi,21.0,95.148,24.973,28.745,41.43,289.0,285.0,258.0,313.0,SOFT,3.0,True,True,1,1
FP1,BOR,5,Audi,22.0,136.456,37.862,44.908,53.686,144.0,137.0,273.0,252.0,SOFT,4.0,True,False,1,1
FP1,BOR,5,Audi,23.0,94.828,25.02,28.689,41.119,291.0,284.0,256.0,318.0,SOFT,5.0,True,True,1,1
FP1,BOT,77,Cadillac,2.0,106.738,26.668,30.534,49.536,276.0,267.0,260.0,271.0,MEDIUM,2.0,True,True,21,1
FP1,BOT,77,Cadillac,3.0,127.44,32.034,39.01,56.396,247.0,201.0,266.0,228.0,MEDIUM,3.0,True,False,1,1
FP1,BOT,77,Cadillac,4.0,99.689,26.241,30.182,43.266,272.0,252.0,247.0,300.0,MEDIUM,4.0,True,True,1,1
FP1,BOT,77,Cadillac,6.0,98.702,25.737,30.011,42.954,273.0,255.0,252.0,305.0,MEDIUM,6.0,True,True,12,1
FP1,BOT,77,Cadillac,7.0,132.203,26.763,41.699,63.741,229.0,161.0,260.0,118.0,MEDIUM,7.0,True,False,26,1
FP1,BOT,77,Cadillac,8.0,134.478,29.313,39.906,65.259,255.0,180.0,,160.0,MEDIUM,8.0,True,False,67,1
FP1,BOT,77,Cadillac,10.0,97.04,25.41,29.467,42.163,275.0,266.0,255.0,311.0,MEDIUM,10.0,False,True,1,1
FP1,BOT,77,Cadillac,11.0,105.149,30.282,31.701,43.166,273.0,266.0,270.0,310.0,MEDIUM,11.0,False,False,1,1
FP1,BOT,77,Cadillac,12.0,99.196,26.231,29.992,42.973,266.0,261.0,273.0,302.0,MEDIUM,12.0,False,False,1,1
FP1,BOT,77,Cadillac,13.0,98.911,26.109,30.058,42.744,270.0,259.0,269.0,306.0,MEDIUM,13.0,False,False,1,1
FP1,BOT,77,Cadillac,14.0,99.834,26.367,30.248,43.219,271.0,258.0,268.0,299.0,MEDIUM,14.0,False,False,1,1
FP1,BOT,77,Cadillac,15.0,100.334,26.39,30.563,43.381,275.0,255.0,269.0,298.0,MEDIUM,15.0,False,False,1,1
FP1,BOT,77,Cadillac,16.0,101.062,26.536,30.817,43.709,270.0,257.0,265.0,295.0,MEDIUM,16.0,False,False,1,1
FP1,BOT,77,Cadillac,17.0,115.162,28.052,31.857,55.253,273.0,243.0,,265.0,MEDIUM,17.0,False,False,12,1
FP1,BOT,77,Cadillac,19.0,96.057,25.316,28.848,41.893,280.0,274.0,255.0,302.0,SOFT,2.0,True,True,1,1
FP1,BOT,77,Cadillac,20.0,122.193,29.159,39.541,53.493,195.0,146.0,273.0,281.0,SOFT,3.0,True,False,1,1
FP1,BOT,77,Cadillac,21.0,96.193,25.229,28.848,42.116,273.0,270.0,257.0,311.0,SOFT,4.0,True,False,1,1
FP1,BOT,77,Cadillac,22.0,120.71,30.049,39.611,51.05,207.0,252.0,255.0,253.0,SOFT,5.0,True,False,1,1
FP1,BOT,77,Cadillac,23.0,127.224,32.259,35.613,59.352,230.0,219.0,70.0,234.0,SOFT,6.0,True,False,1,1
FP1,BOT,77,Cadillac,24.0,147.557,57.263,33.533,56.761,286.0,192.0,74.0,226.0,SOFT,7.0,True,False,1,1
FP1,BOT,77,Cadillac,25.0,147.664,57.443,35.472,54.749,242.0,253.0,,252.0,SOFT,8.0,True,False,1,1
FP1,COL,43,Alpine,2.0,111.177,28.394,33.075,49.708,250.0,248.0,273.0,258.0,MEDIUM,2.0,True,True,12,1
FP1,COL,43,Alpine,3.0,98.371,25.749,29.883,42.739,280.0,269.0,243.0,313.0,MEDIUM,3.0,True,True,1,1
FP1,COL,43,Alpine,4.0,140.183,36.371,48.509,55.303,164.0,188.0,271.0,255.0,MEDIUM,4.0,True,False,1,1
FP1,COL,43,Alpine,5.0,132.527,25.598,31.168,75.761,277.0,106.0,271.0,127.0,MEDIUM,5.0,True,False,167,1
FP1,COL,43,Alpine,6.0,96.767,25.42,29.297,42.05,278.0,267.0,248.0,308.0,MEDIUM,6.0,True,True,1,1
FP1,COL,43,Alpine,8.0,118.088,29.795,33.308,54.985,256.0,249.0,250.0,256.0,MEDIUM,8.0,True,False,6,1
FP1,COL,43,Alpine,9.0,106.938,27.006,30.09,49.842,275.0,274.0,251.0,252.0,MEDIUM,9.0,True,False,671,1
FP1,COL,43,Alpine,10.0,96.176,25.556,29.11,41.51,279.0,270.0,251.0,311.0,MEDIUM,10.0,True,True,1,1
FP1,COL,43,Alpine,11.0,112.295,28.994,33.029,50.272,239.0,254.0,,285.0,MEDIUM,11.0,True,False,1,1
FP1,COL,43,Alpine,13.0,98.994,26.404,30.039,42.551,275.0,260.0,267.0,314.0,MEDIUM,13.0,False,False,1,1
FP1,COL,43,Alpine,14.0,98.678,26.227,30.166,42.285,271.0,254.0,268.0,310.0,MEDIUM,14.0,False,False,1,1
FP1,COL,43,Alpine,15.0,99.098,26.136,30.113,42.849,274.0,260.0,268.0,303.0,MEDIUM,15.0,False,False,1,1
FP1,COL,43,Alpine,16.0,98.369,26.054,29.872,42.443,272.0,254.0,266.0,303.0,MEDIUM,16.0,False,False,1,1
FP1,COL,43,Alpine,17.0,98.507,26.132,29.852,42.523,274.0,259.0,270.0,311.0,MEDIUM,17.0,False,False,1,1
FP1,COL,43,Alpine,18.0,98.551,26.184,29.84,42.527,275.0,259.0,270.0,313.0,MEDIUM,18.0,False,False,1,1
FP1,COL,43,Alpine,19.0,107.299,26.437,30.427,50.435,271.0,262.0,,312.0,MEDIUM,19.0,False,False,1,1
FP1,COL,43,Alpine,21.0,95.267,25.161,28.782,41.324,284.0,273.0,258.0,313.0,SOFT,2.0,True,True,1,1
FP1,COL,43,Alpine,22.0,147.564,42.744,50.835,53.985,107.0,221.0,268.0,272.0,SOFT,3.0,True,False,1,1
FP1,COL,43,Alpine,23.0,94.947,25.088,28.757,41.102,282.0,275.0,260.0,316.0,SOFT,4.0,True,True,1,1
FP1,COL,43,Alpine,24.0,136.571,29.975,38.075,68.521,182.0,170.0,69.0,199.0,SOFT,5.0,True,False,1,1
FP1,COL,43,Alpine,26.0,135.779,58.052,30.131,47.596,281.0,281.0,,314.0,SOFT,7.0,True,False,1,1
FP1,GAS,10,Alpine,2.0,97.754,25.818,29.965,41.971,281.0,271.0,249.0,317.0,MEDIUM,2.0,True,True,12,1
FP1,GAS,10,Alpine,3.0,140.983,42.288,47.55,51.145,118.0,236.0,272.0,286.0,MEDIUM,3.0,True,False,21,1
FP1,GAS,10,Alpine,4.0,95.974,25.147,29.032,41.795,280.0,267.0,247.0,310.0,MEDIUM,4.0,True,True,1,1
FP1,GAS,10,Alpine,5.0,144.195,36.215,44.393,63.587,151.0,240.0,272.0,244.0,MEDIUM,5.0,True,False,16,1
FP1,GAS,10,Alpine,6.0,120.52,31.229,35.566,53.725,247.0,256.0,244.0,255.0,MEDIUM,6.0,True,False,671,1
FP1,GAS,10,Alpine,7.0,101.626,25.366,28.91,47.35,281.0,269.0,223.0,311.0,MEDIUM,7.0,True,False,12,1
FP1,GAS,10,Alpine,8.0,142.416,41.249,41.313,59.854,194.0,237.0,217.0,288.0,MEDIUM,8.0,True,False,26,1
FP1,GAS,10,Alpine,9.0,122.122,31.063,37.512,53.547,256.0,230.0,271.0,309.0,MEDIUM,9.0,True,False,671,1
FP1,GAS,10,Alpine,10.0,95.639,25.45,28.721,41.468,280.0,269.0,249.0,317.0,MEDIUM,10.0,True,True,1,1
FP1,GAS,10,Alpine,11.0,120.356,29.583,38.17,52.603,240.0,190.0,,294.0,MEDIUM,11.0,True,False,1,1
FP1,GAS,10,Alpine,13.0,97.956,25.761,29.657,42.538,273.0,258.0,262.0,307.0,MEDIUM,13.0,False,False,1,1
FP1,GAS,10,Alpine,14.0,97.916,26.129,29.523,42.264,273.0,258.0,268.0,310.0,MEDIUM,14.0,False,False,1,1
FP1,GAS,10,Alpine,15.0,97.907,25.817,29.5,42.59,272.0,257.0,268.0,307.0,MEDIUM,15.0,False,False,1,1
FP1,GAS,10,Alpine,16.0,98.192,25.929,29.733,42.53,274.0,265.0,273.0,323.0,MEDIUM,16.0,False,False,1,1
FP1,GAS,10,Alpine,17.0,98.725,26.086,30.114,42.525,280.0,263.0,273.0,320.0,MEDIUM,17.0,False,False,1,1
FP1,GAS,10,Alpine,18.0,98.664,26.002,30.143,42.519,280.0,260.0,270.0,323.0,MEDIUM,18.0,False,False,1,1
FP1,GAS,10,Alpine,19.0,105.099,26.366,30.051,48.682,278.0,251.0,,320.0,MEDIUM,19.0,False,False,1,1
FP1,GAS,10,Alpine,21.0,94.676,24.675,28.285,41.716,280.0,275.0,254.0,310.0,SOFT,2.0,True,True,1,1
FP1,GAS,10,Alpine,22.0,134.829,32.171,45.377,57.281,183.0,163.0,273.0,297.0,SOFT,3.0,True,False,1,1
FP1,GAS,10,Alpine,23.0,94.853,24.783,28.601,41.469,281.0,275.0,248.0,314.0,SOFT,4.0,True,False,1,1
FP1,GAS,10,Alpine,24.0,121.107,30.18,36.233,54.694,238.0,153.0,,291.0,SOFT,5.0,True,False,1,1
FP1,GAS,10,Alpine,26.0,128.782,32.299,36.831,59.652,204.0,244.0,74.0,254.0,MEDIUM,21.0,False,False,1,1
FP1,GAS,10,Alpine,28.0,149.676,62.503,31.23,55.943,291.0,261.0,,322.0,MEDIUM,23.0,False,False,1,1
FP1,HAD,6,Red Bull Racing,2.0,135.198,25.562,42.406,67.23,247.0,237.0,270.0,77.0,MEDIUM,2.0,True,True,12,1
FP1,HAD,6,Red Bull Racing,3.0,114.572,25.204,34.357,55.011,301.0,169.0,272.0,235.0,MEDIUM,3.0,True,True,1,1
FP1,HAD,6,Red Bull Racing,4.0,96.544,25.247,28.973,42.324,296.0,285.0,262.0,309.0,MEDIUM,4.0,True,True,1,1
FP1,HAD,6,Red Bull Racing,5.0,149.05,45.456,40.749,62.845,125.0,234.0,272.0,159.0,MEDIUM,5.0,True,False,167,1
FP1,HAD,6,Red Bull Racing,6.0,95.951,25.106,28.868,41.977,294.0,285.0,260.0,306.0,MEDIUM,6.0,True,True,12,1
FP1,HAD,6,Red Bull Racing,7.0,144.798,28.24,40.139,76.419,237.0,176.0,,88.0,MEDIUM,7.0,True,False,26,1
