Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,PitInTime_s,PitOutTime_s
LEC,16,Ferrari,13.0,110.657,25.907,29.399,55.351,273.0,266.0,,293.0,MEDIUM,17.0,False,False,124,4085.92,
LEC,16,Ferrari,14.0,,51.297,41.324,63.215,232.0,177.0,214.0,211.0,SOFT,6.0,False,False,4,,4109.044
LEC,16,Ferrari,15.0,148.659,41.306,43.331,64.022,155.0,165.0,225.0,187.0,SOFT,7.0,False,False,4,,
LEC,16,Ferrari,16.0,143.596,37.543,43.543,62.51,255.0,197.0,273.0,206.0,SOFT,8.0,False,False,41,,
LEC,16,Ferrari,17.0,95.876,25.274,28.797,41.805,273.0,272.0,278.0,296.0,SOFT,9.0,False,True,1,,
LEC,16,Ferrari,18.0,94.753,24.811,28.523,41.419,280.0,268.0,260.0,303.0,SOFT,10.0,False,True,1,,
LEC,16,Ferrari,19.0,95.008,25.28,28.574,41.154,280.0,269.0,277.0,309.0,SOFT,11.0,False,False,1,,
STR,18,Aston Martin,1.0,,,32.401,46.056,281.0,275.0,258.0,327.0,MEDIUM,1.0,True,False,12,,
STR,18,Aston Martin,2.0,101.321,27.307,30.949,43.065,260.0,259.0,271.0,316.0,MEDIUM,2.0,True,True,1,,
STR,18,Aston Martin,3.0,100.151,26.028,30.775,43.348,284.0,258.0,271.0,312.0,MEDIUM,3.0,True,True,1,,
STR,18,Aston Martin,4.0,100.075,26.304,30.579,43.192,270.0,259.0,272.0,304.0,MEDIUM,4.0,True,True,1,,
STR,18,Aston Martin,5.0,99.489,26.012,30.466,43.011,270.0,264.0,264.0,309.0,MEDIUM,5.0,True,True,1,,
STR,18,Aston Martin,6.0,99.639,26.206,30.484,42.949,267.0,256.0,265.0,304.0,MEDIUM,6.0,True,False,1,,
STR,18,Aston Martin,7.0,99.707,26.173,30.314,43.22,264.0,254.0,267.0,294.0,MEDIUM,7.0,True,False,1,,
STR,18,Aston Martin,8.0,100.662,26.771,30.658,43.233,267.0,257.0,269.0,311.0,MEDIUM,8.0,True,False,1,,
STR,18,Aston Martin,9.0,99.637,26.118,30.583,42.936,266.0,256.0,271.0,307.0,MEDIUM,9.0,True,False,1,,
STR,18,Aston Martin,10.0,100.064,26.032,30.799,43.233,266.0,256.0,267.0,302.0,MEDIUM,10.0,True,False,1,,
STR,18,Aston Martin,11.0,100.688,26.386,30.678,43.624,266.0,259.0,267.0,297.0,MEDIUM,11.0,True,False,1,,
STR,18,Aston Martin,12.0,101.07,26.526,30.714,43.83,263.0,256.0,268.0,297.0,MEDIUM,12.0,True,False,1,,
STR,18,Aston Martin,13.0,125.016,26.474,35.695,62.847,265.0,222.0,,129.0,MEDIUM,13.0,True,False,124,4138.326,
STR,18,Aston Martin,14.0,,53.072,40.402,59.246,227.0,223.0,215.0,250.0,MEDIUM,8.0,False,False,4,,4161.427
STR,18,Aston Martin,15.0,121.373,33.69,32.838,54.845,236.0,237.0,115.0,255.0,MEDIUM,9.0,False,False,4,,
STR,18,Aston Martin,16.0,131.4,36.219,40.247,54.934,224.0,234.0,271.0,279.0,MEDIUM,10.0,False,False,41,,
STR,18,Aston Martin,17.0,99.331,25.709,30.434,43.188,285.0,261.0,274.0,317.0,MEDIUM,11.0,False,True,1,,
STR,18,Aston Martin,18.0,98.532,25.863,29.875,42.794,268.0,266.0,263.0,332.0,MEDIUM,12.0,False,True,1,,
STR,18,Aston Martin,19.0,99.263,26.322,30.501,42.44,277.0,263.0,271.0,325.0,MEDIUM,13.0,False,False,1,,
ALB,23,Williams,1.0,,,31.008,44.932,287.0,277.0,272.0,339.0,MEDIUM,1.0,True,False,12,,2811.896
ALB,23,Williams,2.0,100.061,26.225,30.446,43.39,282.0,268.0,263.0,318.0,MEDIUM,2.0,True,True,1,,
ALB,23,Williams,3.0,99.476,26.293,30.244,42.939,278.0,266.0,267.0,316.0,MEDIUM,3.0,True,True,1,,
ALB,23,Williams,4.0,99.955,26.254,30.097,43.604,281.0,268.0,271.0,309.0,MEDIUM,4.0,True,False,1,,
ALB,23,Williams,5.0,99.052,26.034,30.311,42.707,290.0,277.0,273.0,317.0,MEDIUM,5.0,True,True,1,,
ALB,23,Williams,6.0,98.559,25.886,29.964,42.709,281.0,275.0,271.0,315.0,MEDIUM,6.0,True,True,1,,
ALB,23,Williams,7.0,98.791,25.97,29.971,42.85,284.0,274.0,270.0,309.0,MEDIUM,7.0,True,False,1,,
ALB,23,Williams,8.0,99.244,26.083,30.064,43.097,284.0,274.0,267.0,309.0,MEDIUM,8.0,True,False,1,,
ALB,23,Williams,9.0,98.925,26.146,30.071,42.708,275.0,273.0,274.0,311.0,MEDIUM,9.0,True,False,1,,
ALB,23,Williams,10.0,99.268,26.199,30.129,42.94,284.0,275.0,274.0,315.0,MEDIUM,10.0,True,False,1,,
ALB,23,Williams,11.0,99.988,26.141,30.347,43.5,287.0,280.0,267.0,318.0,MEDIUM,11.0,True,False,1,,
ALB,23,Williams,12.0,101.171,26.487,30.858,43.826,293.0,285.0,275.0,314.0,MEDIUM,12.0,True,False,1,,
ALB,23,Williams,13.0,120.593,26.178,32.405,62.01,285.0,102.0,,242.0,MEDIUM,13.0,True,False,124,4126.532,
ALB,23,Williams,14.0,,54.93,39.464,58.047,264.0,251.0,229.0,267.0,SOFT,10.0,False,False,4,,4150.753
ALB,23,Williams,15.0,130.561,29.809,35.23,65.522,267.0,262.0,133.0,179.0,SOFT,11.0,False,False,4,,
ALB,23,Williams,16.0,133.202,34.997,40.208,57.997,204.0,232.0,267.0,279.0,SOFT,12.0,False,False,41,,
ALB,23,Williams,17.0,99.659,26.189,30.188,43.282,284.0,271.0,276.0,306.0,SOFT,13.0,False,False,1,,
ALB,23,Williams,18.0,98.53,25.475,29.951999999999998,43.103,287.0,264.0,276.0,297.0,SOFT,14.0,False,True,1,,
ALB,23,Williams,19.0,98.158,25.592,29.597,42.969,282.0,270.0,276.0,301.0,SOFT,15.0,False,True,1,,
HUL,27,Audi,1.0,,,33.648,47.356,286.0,270.0,271.0,306.0,MEDIUM,7.0,False,False,12,,
HUL,27,Audi,2.0,99.943,26.186,30.985,42.772,289.0,270.0,275.0,326.0,MEDIUM,8.0,False,True,1,,
HUL,27,Audi,3.0,99.087,25.996,30.715,42.376,279.0,268.0,272.0,329.0,MEDIUM,9.0,False,True,1,,
HUL,27,Audi,4.0,98.732,25.939,30.066,42.727,284.0,277.0,273.0,311.0,MEDIUM,10.0,False,True,1,,
HUL,27,Audi,5.0,98.027,25.742,29.744,42.541,281.0,274.0,275.0,311.0,MEDIUM,11.0,False,True,1,,
HUL,27,Audi,6.0,98.159,25.716,29.9,42.543,282.0,273.0,274.0,317.0,MEDIUM,12.0,False,False,1,,
HUL,27,Audi,7.0,98.812,25.761,30.322,42.729,279.0,273.0,274.0,311.0,MEDIUM,13.0,False,False,1,,
HUL,27,Audi,8.0,98.846,25.715,30.227,42.904,280.0,270.0,276.0,323.0,MEDIUM,14.0,False,False,1,,
HUL,27,Audi,9.0,99.176,25.93,30.323,42.923,285.0,273.0,278.0,326.0,MEDIUM,15.0,False,False,1,,
HUL,27,Audi,10.0,100.099,26.425,30.601,43.073,274.0,271.0,272.0,330.0,MEDIUM,16.0,False,False,1,,
HUL,27,Audi,11.0,100.571,26.09,30.903,43.578,283.0,266.0,276.0,320.0,MEDIUM,17.0,False,False,1,,
HUL,27,Audi,12.0,101.741,26.66,30.59,44.491,282.0,271.0,231.0,313.0,MEDIUM,18.0,False,False,1,,
HUL,27,Audi,13.0,,,,,,,,,MEDIUM,19.0,False,,124,,
VER,3,Red Bull Racing,1.0,,,32.526,44.356,267.0,279.0,278.0,312.0,MEDIUM,6.0,False,False,12,,
VER,3,Red Bull Racing,2.0,99.1,25.769,30.029,43.302,310.0,265.0,268.0,311.0,MEDIUM,7.0,False,True,1,,
VER,3,Red Bull Racing,3.0,99.269,26.248,30.114,42.907,265.0,272.0,280.0,319.0,MEDIUM,8.0,False,False,1,,
VER,3,Red Bull Racing,4.0,98.185,25.721,29.722,42.742,274.0,266.0,277.0,313.0,MEDIUM,9.0,False,True,1,,
VER,3,Red Bull Racing,5.0,98.324,25.825,29.82,42.679,277.0,270.0,280.0,320.0,MEDIUM,10.0,False,False,1,,
